GlyTouCan ID,Glycosylation Type,UniCarbKB,PubChem,GlycomeDB
G63933WL,-,3443,-,40523
G64183CB,-,-,SID252292893,2350
G64189GC,-,-,SID252293310,20729
G64290CA,-,7166,-,40846
G64460FJ,-,-,SID252296622,8045
G64615DY,-,-,SID252282576,9923
G65609XC,-,3939,SID252279451,16504
G66257KQ,-,-,SID252280601,1058
G66788KX,-,4261,SID252284936,39632
G67274NW,-,-,SID252282353,317
G67623NK,-,-,SID252295227,1541
G67646YE,-,7195,-,40228
G67785RW,-,-,SID252280416,5432
G67988RO,-,-,SID252279411,587
G68110IF,-,-,SID252290856,608
G68415EV,-,-,SID252284582,8578
G68856EP,-,4125,SID252288334,24839
G69107KE,-,-,SID252284846,3766
G69277LC,-,-,SID252283098,18625
G70358QM,-,-,SID252293103,1061
G70374BH,-,-,SID252281504,1123
G70647TI,-,-,SID252282880,1850
G70874WW,-,-,SID252282726,1568
G71031QP,-,7182,-,40853
G71606HZ,-,-,SID252278840,1129
G71888DL,-,-,SID252282191,7911
G72373YW,-,3173,SID252289230,28701
G72395MI,-,-,SID252281792,3939
G72506RN,-,4636,SID252280764,24307
G73381RY,-,-,SID252285865,3378
G73567NI,-,-,SID252278918,1540
G73717AG,-,4013,SID252287723,24827
G74026TS,-,-,SID252278912,2202
G74121RX,-,-,SID252284765,594
G75087EW,-,-,SID252280519,7912
G75236EF,-,-,SID252282536,1161
G75543TY,-,5375,-,39803
G75571YN,-,1485,SID252285533,28830
G75789AR,-,-,SID252285385,552
G76152LH,-,3303,-,39465
G76680HJ,-,3007,SID252288423,17508
G77049FQ,-,5371,-,39800
G77079RV,-,"6329, 6937",-,40013
G77824XV,-,644,SID252276700,17126
G77900OU,-,589,SID252280179,39928
G78074HX,-,-,SID252293588,612
G78205EV,-,-,SID252280355,9938
G78260AJ,-,-,SID252288979,16644
G78297FC,-,-,SID252287557,25975
G78961ZT,-,-,SID252280121,9926
G79333MY,-,-,SID252287064,5101
G80062GG,-,-,SID252279124,1299
G80180SI,-,-,SID252292971,2054
G80498RN,-,3447,SID252290773,17763
G80923TV,-,-,SID252292621,8044
G81149TB,-,-,SID252289637,19147
G81229DT,-,-,SID252297022,1322
G81436EU,-,-,SID252289817,1126
G81928IQ,-,-,SID252289683,24342
G81971FM,-,4065,SID252287225,17417
G81983KG,-,-,SID252293444,51
G82038RE,-,3439,SID252289875,17445
G82236PZ,-,-,SID252281646,11426
G83513YI,-,-,SID252292006,593
G83662TS,-,-,SID252284330,12005
G84020NP,-,-,SID252282771,971
G84053BQ,-,-,SID252294661,1119
G84170WO,-,-,SID252289289,1057
G84702VT,-,725,SID252278596,40254
G84808RB,-,-,SID252296973,8577
G84906ML,-,-,SID252296022,554
G84996EP,-,-,SID252281678,20861
G85607DC,-,1595,SID252280522,17466
G85843WY,-,-,SID252284988,1110
G85856KC,-,-,SID252292982,322
G86123DJ,-,-,SID252293125,17016
G86459PH,-,-,SID252288713,1968
G86851RC,-,-,SID252286978,178
G86906WK,-,-,SID252281029,982
G87124AC,-,-,SID252288997,10138
G87727XV,-,-,SID252288669,18089
G88356HA,-,-,SID252279204,18409
G88469YE,-,2035,SID252276448,5743
G88770MJ,-,-,SID252275782,12058
G89279YZ,-,-,SID252282333,8042
G89293FU,-,-,SID252285220,2611
G90077BJ,-,7186,-,40855
G90387AM,-,-,SID252283679,7552
G90417DH,-,-,SID252284279,7819
G90544PQ,-,3437,SID252290862,39494
G90562PB,-,-,SID252279468,133
G91237TK,-,-,SID252278045,146
G92429IK,-,-,SID252286053,9939
G93468NI,-,-,SID252282853,24760
G93529RD,-,4260,SID252290721,39631
G93871LV,-,-,SID252295410,8576
G94470QH,-,-,SID252283458,16919
G95223JW,-,2043,SID252295414,5747
G95528UC,-,-,SID252292323,2005
G96045AL,-,-,SID252282894,8811
G96168ED,-,-,SID252293199,2004
G96428WC,-,-,SID252281053,21691
G96596OC,-,-,SID252293430,6890
G96834JC,-,-,SID252277419,2823
G96983TA,-,7159,-,40843
G97612UN,-,-,SID252290427,24807
G97865VX,-,3441,-,39496
G98173LG,-,-,SID252291884,3965
G98544DH,-,-,SID252288444,132
G99053DY,-,-,SID252292308,590
G99753FF,-,-,SID252296219,11521
