GlytouCan_id,PubChem_id,UniCarb_id,Tax_id
G83357TS,-,-,9606|9913
G03345AP,CID91845297|SID252276168,-,9606
G87377GM,-,-,9606
G11756ZM,CID91852255|SID252284447,-,11795|9606
G47023PF,CID71297361|SID252291254,2029,10141|32644|9606|9685
G93906VI,CID91846658|SID252277788,-,9606
G43687XR,CID91862193|SID252296345,-,9606
G14781HP,CID91858367|SID252291754,-,9606
G59909MT,-,-,9606
G25869EQ,CID91856815|SID252289901,-,9606
G63078AB,CID91848870|SID252280441,-,9606
G47961DI,CID71297868|SID252287070,1795,9606|10029|10036
G14978ZY,CID91857546|SID252290769,-,9606
G40343KH,CID71297913|SID252283265,1555,9606
G62015ZM,CID91859802|SID252293466,-,9606
G82202JN,CID91847622|SID252278957,-,9606
G29729DB,CID91854295|SID252286875,-,9606
G61222QQ,CID91852412|SID252284634,-,9606
G93520MA,CID71298241|SID252276112,125,9606
G72407WU,CID91848301|SID252279766,-,9606
G66825OG,-,-,10029|9606
G98318PN,CID91849113|SID252280714,-,9606
G51758WG,-,-,9606|9913
G95473VJ,-,-,9606
G49168NM,CID91852281|SID252284480,1323,9606|9940
G86110YJ,CID71297635|SID252278866,4085,32644|9606
G39422JF,CID91854721|SID252287394,-,9606
G62088FQ,-,-,9606
G35234CM,-,-,9606
G53002EK,CID91850407|SID252282240,-,9606
G33476GF,CID25061460|SID252297232,-,9606|487|562
G03499BP,CID440511|SID252294969,-,9606|9823|10090
G19339UM,CID71297797|SID252292800,4097,9606
G48822BJ,CID91860844|SID252294735,-,9606
G78059CC,CID70679232|SID252285486,-,9534|9606|9031|10026|10090|10141|9823
G82746VF,CID71297253|SID252296878,6946,9606|32644
G23000DQ,CID91850026|SID252281788,-,9606|10090
G45714BQ,CID91860039|SID252293750,-,30511|8399|9606|10090|10114
G60496TU,CID91848851|SID252280420,-,9606
G08731KN,CID91862437|SID252296648,-,11795|9606|32644|4922|6973|10036
G35749GB,CID91851804|SID252283904,-,9606
G03071KV,-,-,10114|9606|9823|210
G55331YF,CID71298396|SID252278793,164,9606|9940|6183
G65070LF,CID91848444|SID252279939,-,9606|10114
G01748MD,CID91862533|SID252296760,-,9606
G90562PB,CID10230776|SID252279468,-,9542|9544|9606|6544|8355|93934|319528|10029|10090|10114|10141|9376|9378
G93816OI,CID91854173|SID252286722,-,9606
G30395OK,CID91850420|SID252282256,-,9606
G76136FD,CID91846245|SID252277283,-,6181|6183|9606
G25132GJ,CID91854512|SID252287141,-,9606|10114
G43761IQ,CID91855255|SID252288033,-,9606
G59999BN,CID71298254|SID252291033,167,9606
G87174PM,-,-,9606
G17348SA,CID91860431|SID252294228,-,9606
G74484ON,CID91857112|SID252290255,-,9606
G51098OG,-,-,9606
G36960FP,CID91857372|SID252290561,-,9606
G26242QL,-,-,9606
G73760YR,CID91846375|SID252277437,-,9606
G59029DL,CID91855700|SID252288573,-,9606
G83155KW,CID91860635|SID252294480,-,9606
G49615DO,-,-,9606
G73439VG,CID91851179|SID252283161,-,9606
G65294YU,CID71297700|SID252279951,1225,11191|10029|9606|9031
G56861GL,-,-,9606
G06097MI,CID91853433|SID252285854,-,9606
G34926IG,CID54122455|SID252296046,-,9606
G52915NJ,-,-,9606
G42735RP,-,-,9606
G41327HW,CID5288355|SID252294100,-,9606
G77805RB,-,-,9606
G29884LW,CID91861979|SID252296080,-,9606
G46795YU,-,-,9606
G51028ME,-,-,9606
G22498IQ,CID91849989|SID252281744,-,9606
G54826OZ,CID5289011|SID252281412,-,10114|9606
G86355AM,CID91850784|SID252282694,-,9606
G39794DN,CID91853926|SID252286429,-,9606
G63547QM,-,-,9606
G84504LI,-,-,9606
G18559VR,CID91849069|SID252280664,-,9606
G93891IZ,-,-,9606|10029
G53812EH,CID91855911|SID252288821,-,10090|10114|9606
G10487BH,CID91847776|SID252279138,-,9606
G23365SP,-,-,9606
G14567YG,CID91857479|SID252290689,-,9606
G23024PQ,-,-,9606
G01784XC,CID91845191|SID252276039,-,9913|9606|9823|10114
G44327JQ,CID91847761|SID252279122,-,11783|10026|10029|10090|10114|11309|11676|12721|9606|9796|9823|9666
G42862VU,-,-,9606
G39600NF,CID91860537|SID252294363,-,9606
G15355KC,CID91859097|SID252292633,-,9606
G00695JO,CID91862515|SID252296740,-,9606
G38310GJ,-,-,210|9606|10141|10090|9913
G24812WY,CID91854745|SID252287421,-,9606
G45756EL,CID91857444|SID252290651,-,9606
G07169PS,CID71297404|SID252281977,4209,42806|9606
G75704ZB,-,-,10029|9606
G57311FK,CID71297383|SID252285484,3131,9685|3649|32644|6850|9031|9823|9940|9606|7460
G62571UK,CID91859418|SID252293007,-,9606
G82556YC,-,-,9606
G44345UH,CID53262334|SID252292664,-,7108|9606|9913|10090
G83540SE,CID71297898|SID252290288,1559,9606
G57459VK,-,-,9606
G69738ZU,CID91857754|SID252291020,-,9606
G17100OM,-,-,9606|9031
G09666WO,CID91855880|SID252288787,-,9606|9913
G70590VH,CID91853171|SID252285531,-,9606
G68480EG,CID91849779|SID252281488,-,9606
G70358QM,CID91859498|SID252293103,-,7227|3885|10090|10114|5691|9606
G38473PC,-,-,9606
G55402MT,CID91857182|SID252290341,-,9606
G62801YJ,CID91858910|SID252292409,-,9606
G30580XW,-,-,9606
G40269CS,CID91856963|SID252290073,-,9606|9615|9031|9796|9823|43148|9913|9986|10026|10029|10090|10114|298395
G87164WU,CID91859939|SID252293628,-,10114|9606
G50112PT,-,-,9606
G75277CR,CID91856883|SID252289977,-,9606
G09020HN,CID91861603|SID252295635,-,9606
G72356VO,CID71297873|SID252286949,4924,32644|9606
G27170NH,CID91851961|SID252284092,-,9031|9606
G24668UI,CID71297535|SID252283884,3177,11191|32644|9823|9606
G56838SE,CID56623159|SID252291094,-,9606|9823|8355|9913|10114|145282|156871|9940
G47009SE,-,-,9606
G75197HN,CID91862658|SID252296913,-,9606
G95227SJ,CID91845437|SID252276332,-,3885|9606|9823|29923
G65117HG,CID91853518|SID252285949,-,9606|9940
G04450CG,CID91860131|SID252293856,-,9606
G36523TZ,CID91851768|SID252283861,-,9606
G63238VS,CID91852627|SID252284895,-,9606|10114|10116
G89661WR,-,-,9606
G37619KE,CID10137150|SID252289562,383|7323,9606|9913
G30966TU,CID91857019|SID252290146,-,9606
G45359RY,CID91825692|SID252290966,-,10029|10141|9606
G05724WC,CID25069113|SID252296026,306,9606|9823|10116
G50809LR,CID91849738|SID252281444,-,9606
G82648IS,-,-,4081|9606
G23296IL,CID71297847|SID252281862,5105,9606
G88242BL,CID71297687|SID252286803,3107,9606|9823|9913|9986|10090
G74531CR,CID91858577|SID252291995,-,32644|9606|40674|4922|10029|10036
G73825BL,CID91848992|SID252280577,1541,9606
G06804FL,CID91853011|SID252285350,-,9606
G81229DT,CID86291120|SID252297022,-,10090|9606
G25733QB,-,-,9606
G76081OI,CID91857497|SID252290709,-,9606
G96225KT,-,-,9606|9913
G80966KZ,CID70698383|SID252290358,-,9031|9606|9443
G75253BQ,-,-,9606
G69794GX,CID91848008|SID252279414,-,9606
G50211SY,CID91845922|SID252276901,-,9606
G02594WS,CID51351681|SID252297043,519,9606
G35679QA,CID91862789|SID252297076,-,43148|9823|9606|9031
G76241TN,CID71297453|SID252284987,2101,9913|10090|10114|10116|9925|9940|9986|12721|32644|9031|9091|93934|9606|42806
G66674JW,CID91853505|SID252285935,-,9606
G15365AE,-,-,9606
G36359GN,-,-,9606
G27888XB,CID91862453|SID252296665,-,9606
G03740OH,CID71297672|SID252284509,3381,10026|11309|32644|9606
G99568AR,CID71297962|SID252289928,1751,10029|10036|9606
G56749GV,CID91852779|SID252285077,-,9031|9606|9823|10090|10114
G53956RO,CID91859336|SID252292907,-,9606
G62979KP,CID91846023|SID252277020,-,10515|9913|11795|9606
G87051PY,-,-,9606
G24705DL,CID71297831|SID252280243,2685,9606
G69440RD,CID78225596|SID252286492,-,9606|727
G51138SQ,CID91851140|SID252283110,-,9606
G58995TS,CID91845020|SID252275852,-,10114|9606|11320
G72954XC,CID71297691|SID252295295,1137|4215,9913|9823|9031|56060|32644|9606|9796|10090|10114|10116
G43660IT,CID91859452|SID252293050,-,9606
G74582QG,-,-,9606
G48053YN,CID91851846|SID252283954,-,11795|9606
G13269QI,-,-,9606
G70023SA,CID91862743|SID252297016,-,9606
G13610SN,-,-,9606
G13849YJ,-,-,9606
G47809KW,-,-,9606
G73381RY,CID91853440|SID252285865,-,10090|9606|9823|9913
G62741IO,CID71298431|SID252281204,61,9606
G41865ZJ,-,-,9606|10114
G89325VN,CID71298004|SID252293924,7085,9606
G43818LO,-,-,9606
G67978NC,CID91860970|SID252294881,-,9606
G07689ET,CID91848899|SID252280474,-,9606
G20079RG,CID71297587|SID252286273,1499,93934|9544|9606|9796|9913|9925|9940|9986|9031|10090|10114|10116|10141
G09902CG,-,-,9606
G81114MS,CID91852017|SID252284157,-,9606
G20578GS,CID91856943|SID252290050,-,9606
G80858MF,CID70680319|SID252284441,-,10026|10141|9534|9606
G45844BS,CID91852046|SID252284191,-,9606
G83828KF,-,-,10029|9606
G81096RM,CID91851418|SID252283441,-,9606
G75947FL,CID91847550|SID252278864,-,9913|9606
G48643VT,-,-,9606
G99315PE,CID53239771|SID252295285,-,10114|9606|9823
G28459KM,CID91855651|SID252288511,-,9606
G38997JB,CID91845112|SID252275954,-,9606
G16503YF,CID71298403|SID252277656,688,9940|9606
G02657AK,CID45266844|SID252280026,-,8353|9606|9615|7957|7962|9913|10026|10029|10090|40691|58319|7742|8113|9823|8127|10114|10116|10141|9031
G62808KR,CID91846311|SID252277367,-,9606
G85974HF,CID91844961|SID252275784,-,9913|9606
G92795CJ,-,-,9606
G19615BB,CID91851064|SID252283027,-,9606
G50911OK,CID91852163|SID252284333,-,9606|9913
G27983PC,-,-,9606
G08244YE,CID91862069|SID252296189,-,9606
G67505LV,CID91854847|SID252287546,-,9606
G33593EQ,CID71298124|SID252278055,84,9606|9913
G72406BE,CID91852182|SID252284359,1543,9606
G55419VV,CID656504|SID252279706,-,185739|9606|126344|10114
G17297XR,CID91846098|SID252277106,-,9606
G45811PK,CID91852808|SID252285110,-,32644|9606
G89466MK,-,-,9606
G74312RU,CID71297708|SID252290952,4644,9606
G36362BK,-,-,9606
G93869JB,CID71297387|SID252283442,4069,9606|32644
G33740YL,CID71298467|SID252285861,451,9606
G50829CY,CID91855306|SID252288095,-,9606
G92358PV,CID91857768|SID252291040,-,9606
G19447ZX,CID71297566|SID252290209,4015,9606
G09552LA,CID91852492|SID252284731,-,10090|9606|10114
G98393IW,-,-,9606
G45643JS,CID91858393|SID252291781,-,9606
G52045RC,CID91854959|SID252287683,-,9606
G84350SH,CID71297319|SID252284106,2605,9606
G84558OA,-,-,9606
G26148PQ,CID91849852|SID252281574,-,9606
G66377OH,-,-,9606|9796|9913|10090|10116|10141
G22787WJ,CID71298149|SID252280639,352,9606
G58634AX,-,-,9606
G40707RU,-,-,562|9606|9913
G25937FN,CID71298224|SID252290500,122,10116|9606
G05948HK,CID71297673|SID252290107,3383,9606|9823|9913
G55867TY,CID91854208|SID252286766,-,9606
G66153IB,-,-,9606|9823
G00070MO,-,-,9606|9913|528352
G19555CW,CID91846853|SID252278007,-,9606
G05561CF,CID91856440|SID252289464,-,9606
G18463FK,-,-,9606
G69461KL,-,-,11191|9823|9031|9606|9913|10029|10090|10114
G41352UL,CID91848280|SID252279743,-,9606
G69126BG,-,-,9606
G25162JS,CID91858371|SID252291758,-,8976|8839|9606|9986
G84065BX,-,-,9606
G00057MO,CID44611452|SID252289075,-,9606
G78695LF,-,-,10029|9606
G39874GI,-,-,9606
G46168RR,-,-,9606
G15619OA,-,-,9606|9615|9913|9986|10114|9823
G10483PN,-,-,9606
G47421RS,-,-,9606
G44770ZI,CID71297457|SID252282997,1145,9796|9823|98334|9606
