GlyTouCan Id,GlycoDB ID,GlycO,IUPAC,
G00200HU,10428,,-,
G00200HU,939,,-,
G00201PO,33316,,-,
G00212ZT,1973,,-,
G00219DO,36072,,-,
G00220EK,7464,,-,
G00221CZ,40593,,-,
G00221ZR,15104,,-,
G00227SV,20602,,-,
G00230CO,35658,,-,
G00231WL,39769,,-,
G00232RE,26986,,-,
G00246EP,10787,,-,
G00247JV,40535,,-,
G00247PL,39406,,-,
G00254PY,37471,,-,
G00255RE,31730,,-,
G00264HB,29824,,-,
G00264HI,20271,,-,
G00270EV,31154,,-,
G00272VU,8001,,-,
G00274WK,20986,,-,
G00278WV,24288,,-,
G00279YF,20511,,[beta-D-GlcpNAc-(1->2)-alpha-L-Manp-(1->6)-[beta-D-GlcpNAc-(1->4)-beta-L-GalpNAc-(1->4)-beta-D-GlcpNAc-(1->2)-alpha-L-Manp-(1->3)]-beta-L-Manp-(1->4)]-beta-D-GlcpNAc-(1->4)-?-D-GlcpNAc(1->,
G00280XS,37280,,-,
G00281ZP,39934,,-,
G00283TT,23025,,-,
G00284RD,26006,,-,
G00285OE,15959,,-,
G00287UD,2427,,[beta-L-Galp-(1->4)-beta-D-GlcpNAc-(1->6)-beta-D-GlcpNAc-(1->4)-beta-D-GlcpNAc-(1->3)-beta-L-Galp-(1->4)]-beta-D-GlcpNAc-(1->3)-beta-L-Galp-(1->3)-L-GalNAc(?->,
G00289BZ,16263,,-,
G00293RF,7117,,-,
G00294BL,16493,,-,
G00294RC,11623,,-,
G00295EO,29148,,-,
G00296SE,5198,,-,
G00298HY,991,,-,
G00301XV,11467,,-,
G00303MN,34827,,-,
G00304VG,35270,,-,
G00306VT,24906,,-,
G00312DZ,33607,,-,
G00313AE,34788,,-,
G00314AH,31798,,-,
G00315MF,8406,,-,
G00317GG,19200,,-,
G00317YB,34032,,-,
G00320ZP,7958,,-,
G00321OQ,18580,,-,
G00325UK,30165,,-,
G00328CG,40690,,-,
G00328HB,12098,,-,
G00334ID,25406,,-,
G00335DM,13603,,-,
G00335JE,40854,,-,
G00343GU,15630,,-,
G00343PA,24141,,-,
G00345WI,31046,,-,
G00349CA,1074,,-,
G00350LY,26063,,-,
G00361YF,32306,,-,
G00362UY,1548,,-,
G00364FC,24477,,-,
G00364XT,37958,,-,
G00367LU,37184,,-,
G00367PP,23731,,-,
G00368HM,38262,GOG770,-,
G00369GT,15896,,-,
G00370EI,2047,,D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->3)-beta-L-Galp-(1->4)-beta-L-GlcpNAc-(1->3)-beta-L-Galp-(1->3)-beta-L-Galp-(1->4)-beta-L-Glcp(1->,
G00375ZU,21787,,-,
G00376AV,13056,,-,
G00376CP,31381,,-,
G00379SS,36791,,-,
G00380ZN,29553,,-,
G00381LM,38885,,-,
G00383KP,40333,,-,
G00383OI,37628,,-,
G00383YF,5375,,-,
G00389RI,22249,,-,
G00392ZD,25128,,-,
G00393YJ,36538,,-,
G00394CR,24515,,-,
G00395FS,882,,-,
G00395TQ,180,,[alpha-D-Fucp-(1->6)-alpha-L-Manp-(1->6)-beta-L-Manp-(1->4)-beta-L-GlcpNAc-(1->4)-beta-L-GlcpNAc(1-]-,
G00396IE,39486,,-,
G00398AB,30103,,-,
G00399VS,19546,,-,
G00400RI,8906,,-,
G00406IT,7640,,-,
G00407IX,25819,,-,
G00407UJ,18729,,-,
G00412OQ,29567,,-,
G00412SV,40356,,-,
G00413UF,2383,GOG163,[beta-L-Galp-(1->4)-beta-L-GlcpNAc-(1->2)-alpha-L-Manp-(1->6)-[D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->6)-beta-L-Galp-(1->4)-beta-L-GlcpNAc-(1->4)-D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->6)-beta-L-Galp-(1->4)-beta-L-GlcpNAc-(1->2)-alpha-L-Manp-(1->3)]-beta-L-Manp-(1->4)]-beta-L-GlcpNAc-(1->4)-beta-L-GlcpNAc(1->,
G00415WM,34189,,-,
G00415WM,26913,,-,
G00423RQ,35389,,-,
G00428HK,1948,,[alpha-L-Galp-(1->3)-[alpha-D-Fucp-(1->2)-beta-L-Galp-(1->4)]-beta-D-GlcpNAc-(1->6)-[alpha-L-Galp-(1->3)-alpha-D-Fucp-(1->2)-beta-L-Galp-(1->3)]-L-GalNAc(?-]-,
G00430ZK,20018,,[alpha-D-Fucp-(1->4)-[D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->3)-beta-L-Galp-(1->3)-beta-D-GlcpNAc-(1->3)]-beta-L-Galp-(1->4)-beta-D-GlcpNAc-(1->6)-D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->3)-beta-L-Galp-(1->3)-?-L-GalpNAc(1-]-,
G00432WV,17662,,[beta-L-Galp-(1->4)-beta-L-GlcpNAc-(1->2)-alpha-L-Manp-(1->6)-[beta-L-Galp-(1->4)-[alpha-D-Fucp-(1->3)-beta-L-GlcpNAc-(1->4)]-beta-L-Galp-(1->4)-beta-L-GlcpNAc-(1->2)-alpha-L-Manp-(1->3)]-beta-L-Manp-(1->4)]-beta-L-GlcpNAc-(1->4)-?-L-GlcpNAc(1->,
G00433KW,18387,,-,
G00435KX,22083,,-,
G00438EF,30003,,-,
G00440OL,1728,,-,
G00446UY,19309,,-,
G00451UT,32815,,-,
G00454PR,1199,,-,
G00454RW,22624,,-,
G00455QB,22919,,-,
G00457KD,5699,,-,
G00459HM,10705,,-,
G00461UG,31040,,-,
G00461ZN,23722,,-,
G00467QU,33186,,-,
G00468KU,40115,,-,
G00469BS,24774,,-,
G00470UO,1503,,-,
G00472TL,27494,,-,
G00472YZ,22453,,-,
G00480KJ,14929,,-,
G00480OQ,2406,,-,
G00482HJ,2425,,[alpha-L-Manp-(1->6)-alpha-L-Manp-(1->3)-beta-L-Manp-(1->4)]-L-GlcNAc(?->,
G00483IX,24867,,-,
G00487KV,36809,,-,
G00492CQ,21137,,[alpha-L-Fucp-(1->6)-[alpha-L-Manp-(1->6)-beta-D-GlcpNAc-(1->4)-alpha-L-Manp-(1->3)-beta-L-Manp-(1->4)]-beta-D-GlcpNAc-(1->4)-?-D-GlcpNAc(1-]-,
G00492UK,34742,,-,
G00495CT,18737,,-,
G00499FS,4965,,-,
G00503EE,19000,,-,
G00504NZ,5790,,-,
G00504PK,40514,,-,
G00504PZ,1114,,[beta-D-GlcpNAc-(1->2)-alpha-L-Manp-(1->6)-[beta-D-GlcpNAc-(1->4)-beta-L-Galp-(1->4)-beta-D-GlcpNAc-(1->2)-alpha-L-Manp-(1->3)-beta-L-Manp-(1->4)]]-beta-D-GlcpNAc-(1->4)-D-GlcNAc(?->,
G00505CR,24294,GOG1331,-,
G00510MX,2860,,-,
G00513YN,4080,,-,
G00518WX,4211,,-,
G00520NI,19671,,-,
G00522HU,23477,,-,
G00523YW,31281,,-,
G00524FN,18446,,-,
G00526WX,22695,,-,
G00531ZU,39962,,-,
G00532NJ,7350,,-,
G00536FZ,13382,GOG272,-,
G00541GZ,25415,,-,
G00542FA,23906,,-,
G00542FA,11331,,-,
G00542QA,37542,,-,
G00544JF,39797,,-,
G00545NQ,40379,,-,
G00547QA,34247,,-,
G00547QA,28107,,-,
G00547ZN,8259,,beta-L-GalpNAc4S-(1->4)-beta-D-GlcpNAc-(1->2)-alpha-L-Manp(1->,
G00548EG,26238,,-,
G00551GL,35077,,-,
G00553NJ,11514,,-,
G00558DG,37965,,-,
G00558IW,21727,,-,
G00560AB,6335,,-,
G00560KG,41107,,-,
G00561ZC,29203,,-,
G00568KU,31416,,-,
G00568LN,15299,,-,
G00576LP,12211,,-,
G00582VL,20193,,[alpha-D-Fucp-(1->6)-[alpha-L-Manp-(1->6)-alpha-L-Manp-(1->3)-alpha-L-Manp-(1->6)-beta-L-GalpNAc4S-(1->4)-beta-D-GlcpNAc-(1->2)-alpha-L-Manp-(1->3)-beta-L-Manp-(1->4)]-beta-D-GlcpNAc-(1->4)-?-D-GlcpNAc(1-]-,
G00583PX,37334,,-,
G00586AS,34789,,-,
G00591PZ,40935,,-,
G00593VX,12060,,-,
G00594AV,40619,,-,
G00594BA,5861,,-,
G00594CD,17723,,-,
G00595GG,18386,,-,
G00597FE,10596,,-,
G00601UG,20174,,-,
G00602VH,1006,,-,
G00605LS,8726,,-,
G00606LX,22047,,[alpha-D-Fucp-(1->6)-[beta-L-Galp-(1->4)-[alpha-D-Fucp-(1->3)-beta-L-GlcpNAc-(1->6)]-[beta-L-Galp-(1->4)-[alpha-D-Fucp-(1->3)-beta-L-GlcpNAc-(1->2)]-alpha-L-Manp-(1->6)]-[beta-L-Galp-(1->4)-[alpha-D-Fucp-(1->3)-beta-L-GlcpNAc-(1->4)]-[beta-L-Galp-(1->4)-alpha-D-Fucp-(1->3)-beta-L-GlcpNAc-(1->2)]-alpha-L-Manp-(1->3)]-beta-L-Manp-(1->4)]-beta-L-GlcpNAc-(1->4)-?-L-GlcpNAc(1-]-,
G00607ZR,21176,,-,
G00610NG,30212,,-,
G00613DO,17886,,-,
G00619DD,725,,[alpha-L-Manp-(1->6)-alpha-L-Manp-(1->3)-alpha-L-Manp(1-]-,
G00620EJ,33783,,-,
G00621IU,31247,,-,
G00630TY,38532,,-,
G00631GK,9175,,-,
G00631XZ,24836,,-,
G00633GI,35879,,-,
G00635PZ,29926,,-,
G00641IA,35717,,-,
G00645SW,10445,,-,
G00646SN,9804,,[D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->6)-beta-L-Galp-(1->4)-beta-L-GlcpNAc-(1->6)-[D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->3)-beta-L-Galp-(1->4)-beta-L-GlcpNAc-(1->2)-alpha-L-Manp-(1->6)]-D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->3)-beta-L-Galp-(1->4)-beta-L-GlcpNAc-(1->2)-alpha-L-Manp-(1->3)-beta-L-Manp-(1->4)]-beta-L-GlcpNAc-(1->4)-L-GlcNAc(?->,
G00647RA,9954,GOG1161,-,
G00651BY,37809,,-,
G00651OQ,31251,,-,
G00652SZ,26973,,-,
G00654EM,9933,,-,
G00654VR,9009,,-,
G00662IB,2911,,-,
G00662VT,27682,,-,
G00666EC,2492,,-,
G00667FG,14148,,-,
G00667RI,21340,,-,
G00670OT,36620,,-,
G00672PE,9659,,-,
G00673KJ,3242,GOG965,-,
G00674TY,5727,,-,
G00675GF,36458,,-,
G00678ZC,24467,,-,
G00683ZX,1217,,-,
G00686DC,33391,,-,
G00686EJ,24203,,-,
G00688GC,12449,,-,
G00688TE,1563,,-,
G00690XF,7037,,-,
G00691LW,15350,,-,
G00691NS,40378,,-,
G00693YK,9921,,-,
G00695JO,28874,,[alpha-D-Fucp-(1->6)-[alpha-L-Manp-(1->6)-[beta-D-GlcpNAc-(1->4)-[beta-D-GlcpNAc-(1->4)-beta-D-GlcpNAc-(1->2)-alpha-L-Manp-(1->3)]-beta-L-Manp-(1->4)]]-beta-D-GlcpNAc-(1->4)-?-D-GlcpNAc(1-]-,
G00698QV,12455,,-,
G00702NP,2288,,-,
G00705GA,36089,,-,
G00705XW,3255,,[beta-L-Galp6S-(1->4)-beta-L-GlcpNAc6S-(1->3)-beta-L-Galp-(1->4)-alpha-D-Fucp-(1->3)-L-GlcNAc6S(?-]-,
G00706AL,9824,,[D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->3)-beta-L-Galp-(1->4)-beta-L-GlcpNAc-(1->2)-alpha-L-Manp-(1->6)-[D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->6)-beta-L-Galp-(1->4)-beta-L-GlcpNAc-(1->4)-D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->6)-beta-L-Galp-(1->4)-beta-L-GlcpNAc-(1->2)-alpha-L-Manp-(1->3)]-beta-L-Manp-(1->4)]-beta-L-GlcpNAc-(1->4)-L-GlcNAc(?->,
G00706QN,28732,,[alpha-D-Fucp-(1->6)-[alpha-L-Manp-(1->6)-alpha-D-Fucp-(1->3)-beta-D-GlcpNAc-(1->2)-alpha-L-Manp-(1->3)-beta-L-Manp-(1->4)]-beta-D-GlcpNAc-(1->4)-?-D-GlcpNAc(1-]-,
G00707LL,21945,,-,
G00708XG,37904,,-,
G00709ZM,23513,,-,
G00711QT,1558,,-,
G00712DP,22408,,-,
G00721OO,4366,,-,
G00721TK,5399,,-,
G00724KZ,6827,,-,
G00727XI,34029,,-,
G00727XI,33795,,-,
G00728SN,14724,,-,
G00729SA,20877,,-,
G00730TI,25005,,-,
G00731JR,35789,,-,
G00731MU,29149,,-,
G00738CM,26502,,-,
G00739UX,35060,,-,
G00741NZ,29162,,-,
G00743WU,14077,GOG481,-,
G00747UC,35833,,-,
G00752XN,21445,,-,
G00757LJ,36325,,-,
G00759QJ,25741,,-,
G00759QJ,34132,,-,
G00760ZJ,5333,,-,
G00761OX,8518,,-,
G00762JU,19282,,-,
G00764GY,6207,,-,
G00765TH,26726,,-,
G00765TR,34479,,-,
G00767OE,35202,,-,
G00777SR,24199,,-,
G00778YQ,5592,,-,
G00780DF,35006,,-,
G00780OE,21328,,-,
G00782OI,25042,,-,
G00783PW,36217,,-,
G00785BQ,2242,,-,
G00786AL,18771,,-,
G00793IQ,7398,,-,
G00797ZX,9589,GOG239,[alpha-D-Fucp-(1->6)-[alpha-L-Galp-(1->3)-[alpha-D-Fucp-(1->2)-beta-L-Galp-(1->4)]-beta-L-GlcpNAc-(1->2)-alpha-L-Manp-(1->6)-[alpha-L-Galp-(1->3)-[alpha-D-Fucp-(1->2)-beta-L-Galp-(1->4)]-beta-L-GlcpNAc-(1->4)-alpha-D-Fucp-(1->2)-beta-L-Galp-(1->4)-beta-L-GlcpNAc-(1->2)-alpha-L-Manp-(1->3)]-beta-L-Manp-(1->4)]-beta-L-GlcpNAc-(1->4)-beta-L-GlcpNAc(1-]-,
G00805GL,29484,,-,
G00805TZ,32377,,-,
G00810OX,16428,,-,
G00811SB,37012,,-,
G00813KL,22090,,-,
G00824VR,1520,,-,
G00826SV,14462,,-,
G00828SC,31604,,-,
G00830CM,16255,,-,
G00835ME,34347,,-,
G00838RD,23649,,-,
G00850LT,14099,,-,
G00851XQ,3788,GOG948,[beta-L-Galp-(1->4)-alpha-D-Fucp-(1->3)-beta-D-GlcpNAc-(1->3)]-beta-L-Galp-(1->4)-beta-D-GlcpNAc-(1->3)-beta-L-Galp-(1->4)-beta-D-GlcpNAc-(1->3)-beta-L-Galp-(1->4)-beta-D-Glcp(1->,
G00852WL,40786,,-,
G00854PO,37230,,-,
G00855UQ,7277,,-,
G00860GF,24236,,-,
G00868ZN,32979,,-,
G00868ZT,2371,,-,
G00870RY,22464,,-,
G00876GU,13667,,-,
G00883DO,9098,,-,
G00883ZT,867,,-,
G00886XN,26054,,-,
G00887ML,38678,,-,
G00887XW,6016,,-,
G00888JR,41070,,-,
G00888KQ,30559,,-,
G00891GP,7865,,D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->3)-beta-L-Galp-(1->4)-beta-L-GlcpNAc-(1->3)-beta-L-Galp-(1->3)-L-GalNAc(?->,
G00891MP,279,,-,
G00895LB,24582,,-,
G00897BY,39451,,-,
G00899CT,19422,,-,
G00900AZ,8082,,-,
G00901NZ,19166,,[alpha-L-Fucp-(1->2)-beta-D-Galp-(1->4)-[alpha-L-Fucp-(1->3)-beta-D-GlcpNAc-(1->6)]-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->3)-?-D-GalpNAc(1-]-,
G00902FP,38626,,-,
G00906XA,7211,,-,
G00908JO,29697,,-,
G00909GK,13583,,-,
G00910WD,9800,,[alpha-D-Fucp-(1->6)-[D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->6)-beta-L-Galp-(1->4)-beta-L-GlcpNAc-(1->6)-[D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->6)-beta-L-Galp-(1->4)-beta-L-GlcpNAc-(1->2)-alpha-L-Manp-(1->6)]-[D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->6)-beta-L-Galp-(1->4)-beta-L-GlcpNAc-(1->4)-D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->6)-beta-L-Galp-(1->4)-beta-L-GlcpNAc-(1->2)-alpha-L-Manp-(1->3)]-beta-L-Manp-(1->4)]-beta-L-GlcpNAc-(1->4)-L-GlcNAc(?-]-,
G00912HJ,40947,,-,
G00912QB,12759,,-,
G00915BA,13182,,-,
G00915DI,20797,,-,
G00917AT,35007,,-,
G00919CG,1394,,-,
G00923KH,8590,,-,
G00925PQ,5912,,-,
G00928TR,15443,,-,
G00930YJ,6900,,-,
G00932EO,31687,,-,
G00933AQ,34208,,-,
G00933AQ,27405,,-,
G00933DA,8366,,-,
G00933ZB,25921,,-,
G00936LV,18141,,-,
G00938YC,14891,,-,
G00944OL,14321,GOG1269,-,
G00944VQ,16416,,-,
G00945ER,22782,,-,
G00947TO,4731,,-,
G00951UF,2286,GOG158,-,
G00957XY,24873,,-,
G00961UZ,30080,,-,
G00964ZC,35283,,-,
G00966RI,39464,,-,
G00968XF,3029,,-,
G00970XH,29571,,-,
G00972DY,6212,,-,
G00973MH,15938,,-,
G00977CB,11086,,-,
G00978TF,1016,,-,
G00979XR,494,GOG1257,[beta-L-Galp-(1->4)-beta-D-GlcpNAc-(1->6)-[beta-L-Galp-(1->4)-beta-D-GlcpNAc-(1->6)-beta-L-Galp-(1->4)-beta-D-GlcpNAc-(1->3)-beta-L-Galp-(1->3)]-alpha-L-GalpNAc(1-]-,
G00982QD,20693,,-,
G00984AJ,36844,,-,
G00986YT,13706,,-,
G00992AB,11751,,-,
G00993PM,38107,GOG614,-,
G00995HW,19829,,-,
G00996YC,7510,,-,
G00997BI,41099,,-,
G00997NX,37122,,-,
G00997UP,40224,,-,
G00997XV,16675,,-,
G00998NI,17419,,-,
G00999BL,33373,,-,
G00999IV,21716,,-,
G00999MM,31714,,-,
G01001AO,16959,,-,
G01001RL,31364,,-,
G01001ZH,30825,,-,
G01004EV,20456,,-,
G01011QG,4462,,-,
G01028CW,35807,,-,
G01028FJ,6653,,-,
G01028ZR,11115,,-,
G01029TX,1193,,-,
G01031EZ,35923,,-,
G01034MJ,32256,,-,
G01035KM,15812,,-,
G01036RC,25164,,-,
G01040ZV,3840,,-,
G01045DN,36795,,-,
G01045XY,28278,,-,
G01049VL,7992,,-,
G01055WR,11610,,-,
G01064GA,12705,,-,
G01065OX,32380,,-,
G01069AK,14928,,-,
G01069HR,38924,,-,
G01077MO,40718,,-,
G01080UV,15720,,-,
G01084HJ,19508,,-,
G01099KZ,23005,,-,
G01102YI,25832,,-,
G01107YB,40742,,-,
G01113CD,10947,,-,
G01114JI,25051,,-,
G01128EJ,27536,,-,
G01128XX,30910,,-,
G01132FQ,17598,,-,
G01132OH,32609,,-,
G01132PT,20689,,-,
G01137TS,7687,,-,
G01139KZ,20454,,-,
G01141WK,19513,,-,
G01144LY,7025,,-,
G01146FB,36593,,-,
G01147DC,14866,,-,
G01150HL,26141,,-,
G01156QQ,26321,,-,
G01158PQ,10442,,-,
G01166BB,7603,,-,
G01169EW,20361,,-,
G01169IB,39378,,-,
G01169PP,5626,,-,
G01174QS,40144,,-,
G01178HS,29689,,-,
G01180DW,14242,,-,
G01180ZJ,40611,,-,
G01186RG,22415,,-,
G01186ZV,25425,,-,
G01187XC,17052,,[beta-L-Galp-(1->4)-alpha-D-Fucp-(1->3)-?-L-GlcpNAc(1-]-,
G01188EJ,24856,,-,
G01190UO,37807,,-,
G01191NN,17390,GOG1197,-,
G01194EF,20046,,-,
G01199AW,15506,,-,
G01200BW,7770,GOG1105,[alpha-L-Galp-(1->3)-[alpha-D-Fucp-(1->2)-beta-L-Galp-(1->4)]-beta-L-GlcpNAc-(1->6)-[alpha-L-Galp-(1->3)-alpha-D-Fucp-(1->2)-beta-L-Galp-(1->4)]-beta-L-GlcpNAc-(1->3)-beta-L-Galp-(1->4)-beta-L-GlcpNAc-(1->3)-beta-L-Galp-(1->4)]-beta-L-GlcpNAc-(1->3)-beta-L-Galp-(1->4)-beta-L-GlcpNAc-(1->3)-beta-L-Galp-(1->4)-beta-L-Glcp(1->,
G01200UV,7240,,-,
G01201QH,22336,,-,
G01203BZ,21707,,-,
G01204QQ,11301,,-,
G01210TO,25211,,-,
G01216SP,33930,,-,
G01220PX,13573,,-,
G01220QI,11572,,-,
G01221DA,41065,,-,
G01223AA,29013,,-,
G01232PN,4956,,-,
G01239JD,30721,,-,
G01242AW,31258,,-,
G01244AY,37302,,-,
G01245TU,32706,,-,
G01245US,30435,,-,
G01250KF,23714,,-,
G01253IK,17840,,-,
G01256TR,34003,,-,
G01256TR,28171,,-,
G01256TR,33981,,-,
G01258FR,12526,,-,
G01260KO,10732,,-,
G01260RY,20040,,-,
G01264LL,27689,,-,
G01268QD,25990,,-,
G01269WV,1315,,-,
G01279CU,37087,,-,
G01281PQ,11335,,-,
G01282UD,39401,,-,
G01287FH,1705,,-,
G01292SR,12387,,-,
